pattern,n_pattern_occurence,n_pattern_positive_occurence,decision,alpha,value,coverage,precision,delta,g-statistic,p-value,cramers_phi
node:X:next:VerbForm=Part,13440,6599,yes,0.0020000000000000018,0.09011147381541817,19.330364989161637,49.09970238095238,5452.840012390521,15083.209600549057,0.0,1.0593689721190023
node:X:prev:upos=PRON,18184,7531,yes,0.0020000000000000018,0.07577858875832333,22.060460483918217,41.41553013638363,5980.27282628789,14309.360237807903,0.0,0.8870853299618467
node:X:child:rel_shallow=det,60630,13,no,0.0020000000000000018,-0.009291224181740443,16.554423106333704,99.97855846940459,-5157.511908390082,10624.808859888928,0.0,0.418616920750062
node:X:next:Number=Plur,57342,4678,no,0.001,0.1279073799986966,14.382469249087851,91.84193087091485,-212.11205427847653,10.193111868190753,0.0014096622432092643,0.01333266530810844
node:X:own:rel_shallow=fixed,3469,655,yes,0.001,1.1905704216651012,1.918682992559611,18.881522052464685,359.1645091504999,365.180677755568,0.0,0.3244529634613722
node:X:own:rel_shallow=cc,10731,1,no,0.001,-0.34342160293588564,2.9303489108824365,99.99068120398844,-914.1371151069432,1897.24218353177,0.0,0.42047607414513305
node:X:next:VerbForm=Inf,6148,993,yes,0.001,-0.31146041579145023,2.908782002460601,16.1515940143136,468.7000294774498,371.1880110376585,0.0,0.24571407861909247
node:X:prev:upos=ADV,14139,2174,yes,0.001,0.5126152241243462,6.368269963090984,15.375910601881321,968.2294594635105,700.8345566534476,0.0,0.2226375461463307
node:X:next:upos=DET,55131,4288,no,0.001,0.10513932673564336,13.885156540167355,92.22216176017123,-413.5585027453999,40.87583701969257,1.622144640833767e-10,0.027229232135489438
node:X:own:SpaceAfter=No,58048,4035,no,0.001,0.10487585546583972,14.750879377771952,93.04885611907387,-915.319565532368,196.4500319076213,0.0,0.05817446812406395
node:X:next:Gender=Masc,88804,9300,yes,0.001,0.012570092688519108,27.24236920733493,10.472501238682943,1726.816105679155,403.7949999711223,0.0,0.06743171486190105
node:X:own:Person=1,2012,1568,yes,0.001,0.15825518688950213,4.593122034096901,77.9324055666004,1396.4171209025096,5675.700397298563,0.0,1.6795608505632693
node:X:parent:VerbForm=Inf,13862,1540,yes,0.001,-0.31950286953768264,4.511101997773742,11.109508007502525,357.8519532557593,108.99549929303603,0.0,0.08867298641996074
node:X:parent:VerbForm=Fin,55138,11820,yes,0.001,0.24300621805857606,34.62417247641924,21.43712140447604,7117.84453892772,8610.42007168253,0.0,0.3951724552534356
node:X:parent:Idiom=Yes,4705,731,yes,0.001,0.4177781458331622,2.141308805436757,15.536663124335812,329.7587245756996,243.40173568372435,0.0,0.2274479472086321
