cluster_id,deprel,count,percentage_in_cluster,percentage_of_deprel
32,5,4750,85.01879362806515,42.81979626791671
32,15,243,4.34938249507786,3.2762572468653093
32,48,141,2.523715768748881,14.446721311475411
32,46,113,2.0225523536781815,1.4049484023374363
32,0,82,1.4676928584213351,1.9673704414587334
33,28,92,96.84210526315789,7.437348423605497
33,19,1,1.0526315789473684,3.125
33,6,1,1.0526315789473684,0.10515247108307045
33,15,1,1.0526315789473684,0.013482540110556829
34,33,923,31.674673987645846,5.412220007036472
34,38,651,22.340425531914892,6.59908768373036
34,37,371,12.731640356897737,5.769828926905133
34,15,264,9.059711736444749,3.5593905891870032
34,27,183,6.280027453671928,3.4738041002277904
35,20,2051,64.11378555798687,20.327056491575817
35,3,773,24.163801187871208,9.225444563790429
35,27,143,4.470146920912786,2.714502657555049
35,10,70,2.1881838074398248,1.256055984209582
35,4,55,1.7192872772741483,49.107142857142854
36,46,1750,31.17206982543641,21.75805047867711
36,16,1116,19.878874242964017,61.050328227571114
36,8,615,10.954755967224795,41.0
36,0,584,10.40256501603135,14.011516314779271
36,15,495,8.817242607766298,6.67385735472563
37,26,479,50.20964360587003,25.223802001053187
37,25,250,26.20545073375262,47.25897920604915
37,24,141,14.779874213836477,14.733542319749215
37,37,32,3.3542976939203357,0.4976671850699844
37,30,24,2.515723270440252,1.7569546120058566
38,44,4405,59.206989247311824,18.593558735384747
38,33,1103,14.825268817204302,6.467690864313358
38,34,618,8.306451612903226,7.3032380051997166
38,28,421,5.658602150537635,34.03395311236863
38,15,245,3.293010752688172,3.303222327086423
39,9,473,47.97160243407708,2.0558960316425434
39,1,152,15.415821501014198,5.415033843961525
39,3,96,9.73630831643002,1.1457214464733263
39,20,95,9.634888438133874,0.9415262636273538
39,7,39,3.9553752535496955,0.9964230965763925
40,33,1783,31.247809323519103,10.455025214026035
40,38,1241,21.749036102348406,12.579827673593513
40,37,622,10.900806168944971,9.673405909797824
40,34,495,8.675078864353312,5.849680926494918
40,27,336,5.888538380651945,6.378132118451026
41,12,528,30.985915492957744,27.32919254658385
41,1,264,15.492957746478872,9.405058781617386
41,17,201,11.795774647887324,28.510638297872344
41,15,141,8.274647887323944,1.901038155588513
41,0,103,6.044600938967136,2.4712092130518233
42,34,680,34.53529710512951,8.035925313164736
42,38,290,14.728288471305232,2.9396857577293463
42,33,198,10.05586592178771,1.1610179430045737
42,27,133,6.754697816150331,2.524677296886864
42,20,113,5.738953783646521,1.1199207135777998
43,9,442,23.386243386243386,1.9211544312600513
43,44,363,19.20634920634921,1.5322274281372674
