cluster_id,deprel,count,percentage_in_cluster,percentage_of_deprel
15,fixed,435,9.419662191424859,8.257403189066059
15,nsubj,353,7.644001732351667,4.171590640510518
16,det,2393,99.70833333333333,23.716551040634293
16,fixed,4,0.16666666666666669,0.07593014426727411
16,parataxis,2,0.08333333333333334,0.14958863126402394
16,nmod,1,0.04166666666666667,0.005863726984871584
17,flat,92,96.84210526315789,7.437348423605497
17,dep,1,1.0526315789473684,3.125
17,appos,1,1.0526315789473684,0.10515247108307045
17,conj,1,1.0526315789473684,0.013482540110556829
18,nmod,1650,40.04854368932039,9.675149525038114
18,obl,939,22.79126213592233,9.518499746578813
18,conj,328,7.961165048543689,4.42227315626264
18,obj,255,6.189320388349515,3.9657853810264383
18,parataxis,153,3.713592233009709,11.443530291697831
19,cc,319,62.3046875,5.7240265566122375
19,advmod,87,16.9921875,1.038310060866452
19,mark,74,14.453125,1.3503649635036497
19,fixed,8,1.5625,0.15186028853454822
19,cc:preconj,7,1.3671875,9.45945945945946
20,nummod,2166,87.79894608836643,60.757363253856944
20,conj,104,4.215646534252128,1.4021841714979102
20,parataxis,53,2.1483583299554114,3.9640987284966345
20,compound,42,1.7024726388325904,76.36363636363637
20,nsubj,37,1.4997973246858534,0.4372488773339636
21,expl:pv,479,50.20964360587003,25.223802001053187
21,expl:poss,250,26.20545073375262,47.25897920604915
21,expl:pass,141,14.779874213836477,14.733542319749215
21,obj,32,3.3542976939203357,0.4976671850699844
21,iobj,24,2.515723270440252,1.7569546120058566
22,nsubj,1203,50.588730025231285,14.21649728196644
22,obl,419,17.619848612279227,4.247339077546883
22,fixed,325,13.666947014297728,6.169324221716021
22,obj,204,8.578637510513037,3.1726283048211505
22,nsubj:pass,114,4.79394449116905,6.544202066590127
23,cc,4928,58.1406323737612,88.42634128835456
23,mark,1539,18.157149598867388,28.083941605839417
23,advmod,1507,17.7796130250118,17.98543978995107
23,fixed,331,3.9051439358187827,6.283219438116933
23,case,70,0.825861255309108,0.3042552266701439
24,case,473,46.55511811023622,2.0558960316425434
24,advcl,152,14.960629921259844,5.415033843961525
24,advmod,96,9.448818897637794,1.1457214464733263
24,det,95,9.350393700787402,0.9415262636273538
24,mark,43,4.23228346456693,0.7846715328467153
25,nmod,1713,30.892696122633,10.044564325085025
25,obl,1201,21.659152389540125,12.174353775975671
25,obj,612,11.03697024346258,9.517884914463453
25,nsubj,483,8.710550045085663,5.707870479792011
25,fixed,324,5.843101893597836,6.150341685649203
26,punct,2630,59.66424682395645,11.101262082647418
26,nmod,579,13.135208711433757,3.3950979242406474
26,flat,456,10.344827586206897,36.86337914308812
26,obl,184,4.174228675136116,1.865179929042068
26,conj,127,2.881125226860254,1.7122825940407174
27,advmod,3542,69.23377638780298,42.272347535505425
27,fixed,466,9.108678655199375,8.845861807137434
27,amod,397,7.759968725566849,3.578833498602722
27,root,147,2.8733385457388585,1.8276762402088773
27,conj,114,2.2283033620015638,1.5370095726034785
28,mark,1945,99.08303616912887,35.49270072992701
28,fixed,15,0.7641365257259297,0.2847380410022779
28,expl:pv,1,0.05094243504839531,0.0526592943654555
28,case,1,0.05094243504839531,0.0043465032381449125
28,obj,1,0.05094243504839531,0.015552099533437013
29,ccomp,485,20.878174773999138,25.10351966873706
29,advcl,395,17.003874300473527,14.071962949768436
29,root,320,13.775290572535514,3.978614944672386
29,aux:pass,285,12.268618166164442,19.0
29,acl,258,11.106328024106759,6.190019193857966
30,nmod,84,16.153846153846153,0.4925530667292131
30,punct,79,15.192307692307692,0.3334599636992951
30,amod,71,13.653846153846153,0.6400432705309654
30,case,66,12.692307692307692,0.28686921371756424
